ts,open,high,low,close,volume,datetime
1771262100000,1971.41,1977.04,1963.61,1976.32,255.8752723,2026-02-16 17:15:00+00:00
1771263000000,1975.99,1987.49,1975.99,1984.94,370.45087303,2026-02-16 17:30:00+00:00
1771263900000,1985.42,1985.42,1977.09,1978.29,139.90412123,2026-02-16 17:45:00+00:00
1771264800000,1978.32,1983.62,1978.32,1981.48,38.07370604,2026-02-16 18:00:00+00:00
1771265700000,1980.96,1985.0,1978.71,1978.72,86.08962102,2026-02-16 18:15:00+00:00
1771266600000,1978.16,1979.94,1973.32,1974.09,138.01053816,2026-02-16 18:30:00+00:00
1771267500000,1973.58,1975.68,1967.01,1967.85,115.80076268,2026-02-16 18:45:00+00:00
1771268400000,1967.86,1970.98,1966.28,1969.95,102.57512209,2026-02-16 19:00:00+00:00
1771269300000,1970.89,1973.2,1965.94,1971.73,51.59122108,2026-02-16 19:15:00+00:00
1771270200000,1971.16,1978.77,1970.87,1977.49,24.68490831,2026-02-16 19:30:00+00:00
1771271100000,1977.04,1978.42,1972.63,1973.46,38.77945955,2026-02-16 19:45:00+00:00
1771272000000,1973.39,1975.22,1970.45,1971.93,53.06243899,2026-02-16 20:00:00+00:00
1771272900000,1973.6,1981.1,1971.81,1980.38,82.63799011,2026-02-16 20:15:00+00:00
1771273800000,1981.53,1984.07,1978.66,1981.9,36.62311806,2026-02-16 20:30:00+00:00
1771274700000,1983.1,1993.68,1981.57,1992.67,383.11416818,2026-02-16 20:45:00+00:00
1771275600000,1992.5,1992.82,1987.28,1992.82,62.66024432,2026-02-16 21:00:00+00:00
1771276500000,1992.83,1993.7,1986.26,1986.66,59.67599992,2026-02-16 21:15:00+00:00
1771277400000,1987.3,1989.42,1985.8,1987.24,77.9976126,2026-02-16 21:30:00+00:00
1771278300000,1986.54,2003.8,1985.8,1999.23,2867.46550326,2026-02-16 21:45:00+00:00
1771279200000,1998.67,2001.6,1992.0,1992.38,635.31219261,2026-02-16 22:00:00+00:00
1771280100000,1992.58,1995.1,1989.82,1991.8,190.50694709,2026-02-16 22:15:00+00:00
1771281000000,1992.46,1994.85,1987.99,1990.46,103.43037092,2026-02-16 22:30:00+00:00
1771281900000,1990.4,1992.22,1984.64,1989.41,353.51447026,2026-02-16 22:45:00+00:00
1771282800000,1989.5,1996.55,1988.3,1995.53,225.95979159,2026-02-16 23:00:00+00:00
1771283700000,1995.56,1998.88,1993.19,1994.71,89.2499732,2026-02-16 23:15:00+00:00
1771284600000,1994.71,1996.7,1992.13,1993.8,27.43500865,2026-02-16 23:30:00+00:00
1771285500000,1995.2,2001.67,1995.2,1997.94,307.99656214,2026-02-16 23:45:00+00:00
1771286400000,1997.64,1998.27,1993.87,1997.44,20.1574736,2026-02-17 00:00:00+00:00
1771287300000,1997.84,2000.0,1992.91,1998.55,14.75398638,2026-02-17 00:15:00+00:00
1771288200000,1998.0,2000.87,1995.08,1997.27,47.16963166,2026-02-17 00:30:00+00:00
1771289100000,1997.12,2004.8,1996.89,1997.9,43.27405626,2026-02-17 00:45:00+00:00
1771290000000,1997.91,2001.21,1994.0,2000.01,87.73135168,2026-02-17 01:00:00+00:00
1771290900000,2000.96,2003.2,1997.98,2000.56,55.56144683,2026-02-17 01:15:00+00:00
