ts,open,high,low,close,volume,datetime
1761537600000,4205.36,4252.57,4195.21,4200.01,2973.03356933,2025-10-27 04:00:00+00:00
1761552000000,4200.01,4200.01,4135.0,4160.98,4436.92156484,2025-10-27 08:00:00+00:00
1761566400000,4160.98,4187.17,4122.6,4172.86,1783.80585457,2025-10-27 12:00:00+00:00
1761580800000,4172.86,4234.03,4172.86,4190.9,4560.70756017,2025-10-27 16:00:00+00:00
1761595200000,4192.26,4194.89,4095.47,4118.66,7418.25623014,2025-10-27 20:00:00+00:00
1761609600000,4118.66,4141.32,4071.98,4095.49,2169.9323226,2025-10-28 00:00:00+00:00
1761624000000,4095.5,4126.34,4068.28,4117.73,1234.32848551,2025-10-28 04:00:00+00:00
1761638400000,4116.75,4134.59,4105.47,4112.22,1218.54765913,2025-10-28 08:00:00+00:00
1761652800000,4112.23,4174.82,4074.36,4097.78,3899.35398768,2025-10-28 12:00:00+00:00
1761667200000,4096.85,4148.6,4029.79,4039.96,10797.08922362,2025-10-28 16:00:00+00:00
1761681600000,4040.37,4044.54,3926.42,3980.25,11641.69640622,2025-10-28 20:00:00+00:00
1761696000000,3980.15,4008.21,3965.49,3999.3,900.02176047,2025-10-29 00:00:00+00:00
1761710400000,3999.31,4035.79,3999.3,4025.35,7138.6893019,2025-10-29 04:00:00+00:00
1761724800000,4025.35,4026.31,3985.06,4013.73,4950.54710086,2025-10-29 08:00:00+00:00
1761739200000,4013.73,4028.65,3942.31,3951.71,3991.23908272,2025-10-29 12:00:00+00:00
1761753600000,3951.71,4018.97,3840.0,3904.5,12938.57431805,2025-10-29 16:00:00+00:00
1761768000000,3904.5,3964.29,3877.12,3902.54,2760.17589374,2025-10-29 20:00:00+00:00
1761782400000,3902.54,3948.66,3886.61,3935.97,1244.85530104,2025-10-30 00:00:00+00:00
1761796800000,3934.85,3943.02,3841.0,3940.01,4471.54376252,2025-10-30 04:00:00+00:00
1761811200000,3939.98,3939.99,3880.01,3882.84,4097.19871955,2025-10-30 08:00:00+00:00
1761825600000,3881.17,3884.49,3761.19,3773.9,14707.40051543,2025-10-30 12:00:00+00:00
1761840000000,3773.9,3801.09,3679.02,3690.35,7412.78198109,2025-10-30 16:00:00+00:00
1761854400000,3687.0,3805.6,3678.76,3802.67,2959.97714035,2025-10-30 20:00:00+00:00
1761868800000,3803.69,3857.4,3796.49,3828.07,2557.94800557,2025-10-31 00:00:00+00:00
1761883200000,3828.08,3870.92,3822.12,3823.76,3931.27538217,2025-10-31 04:00:00+00:00
1761897600000,3828.0,3878.07,3817.46,3873.97,1900.30087997,2025-10-31 08:00:00+00:00
1761912000000,3872.54,3884.29,3828.51,3861.56,2216.37144537,2025-10-31 12:00:00+00:00
1761926400000,3861.57,3900.0,3804.29,3886.0,4087.84257916,2025-10-31 16:00:00+00:00
1761940800000,3885.14,3889.52,3840.0,3846.73,1117.74794056,2025-10-31 20:00:00+00:00
1761955200000,3846.73,3860.94,3830.69,3859.73,953.17662118,2025-11-01 00:00:00+00:00
1761969600000,3859.74,3866.62,3850.53,3858.56,990.8918267,2025-11-01 04:00:00+00:00
1761984000000,3858.57,3879.06,3858.57,3875.03,1437.87413081,2025-11-01 08:00:00+00:00
1761998400000,3875.03,3878.69,3835.37,3870.09,1817.92456282,2025-11-01 12:00:00+00:00
1762012800000,3870.09,3870.09,3870.09,3870.09,0.0,2025-11-01 16:00:00+00:00
1762027200000,3872.09,3881.41,3863.27,3872.37,861.77936931,2025-11-01 20:00:00+00:00
1762041600000,3872.37,3882.78,3861.09,3879.22,331.38371115,2025-11-02 00:00:00+00:00
1762056000000,3879.22,3916.6,3875.61,3906.75,657.18598301,2025-11-02 04:00:00+00:00
1762070400000,3906.75,3906.98,3853.63,3890.0,1087.71727959,2025-11-02 08:00:00+00:00
1762084800000,3890.0,3890.0,3837.92,3853.0,1369.85018681,2025-11-02 12:00:00+00:00
1762099200000,3853.0,3865.6,3840.95,3855.0,638.53819849,2025-11-02 16:00:00+00:00
1762113600000,3855.36,3912.6,3844.99,3907.44,2089.17197972,2025-11-02 20:00:00+00:00
1762128000000,3906.81,3913.33,3730.0,3736.01,3979.62762707,2025-11-03 00:00:00+00:00
1762142400000,3736.21,3762.82,3685.0,3713.76,4372.18648444,2025-11-03 04:00:00+00:00
1762156800000,3712.72,3739.22,3664.98,3709.99,4139.56770003,2025-11-03 08:00:00+00:00
1762171200000,3710.92,3745.99,3582.66,3590.01,8037.27817137,2025-11-03 12:00:00+00:00
1762185600000,3590.01,3679.39,3561.22,3629.52,7648.55451067,2025-11-03 16:00:00+00:00
1762200000000,3630.22,3634.21,3558.19,3601.99,12280.85984622,2025-11-03 20:00:00+00:00
1762214400000,3601.99,3649.9,3566.58,3642.17,11936.36624712,2025-11-04 00:00:00+00:00
1762228800000,3642.01,3645.62,3470.93,3492.06,10560.50114203,2025-11-04 04:00:00+00:00
1762243200000,3492.06,3531.1,3460.0,3529.21,3147.82060979,2025-11-04 08:00:00+00:00
1762257600000,3529.21,3584.92,3472.0,3504.65,5001.01967992,2025-11-04 12:00:00+00:00
1762272000000,3505.73,3516.26,3224.14,3229.0,19976.0626707,2025-11-04 16:00:00+00:00
1762286400000,3228.82,3303.12,3058.27,3288.88,24021.51137773,2025-11-04 20:00:00+00:00
1762300800000,3286.58,3346.0,3168.13,3331.91,7918.6616432,2025-11-05 00:00:00+00:00
1762315200000,3331.91,3353.42,3306.22,3333.34,5716.58140419,2025-11-05 04:00:00+00:00
1762329600000,3331.2,3331.2,3273.65,3321.28,1693.12906626,2025-11-05 08:00:00+00:00
1762344000000,3321.29,3398.0,3311.8,3397.63,5656.34452633,2025-11-05 12:00:00+00:00
1762358400000,3397.65,3477.0,3371.01,3456.78,13407.3131318,2025-11-05 16:00:00+00:00
