ts,open,high,low,close,volume,datetime
1709683200000,0.80643,0.8475,0.78446,0.82744,218874.41108113,2024-03-06 00:00:00+00:00
1709769600000,0.82889,0.86141,0.82054,0.84766,229328.89977839,2024-03-07 00:00:00+00:00
1709856000000,0.84896,0.85279,0.81207,0.83852,210558.41970984,2024-03-08 00:00:00+00:00
1709942400000,0.83764,0.85141,0.83031,0.8343,120396.79332901,2024-03-09 00:00:00+00:00
1710028800000,0.8311,0.84107,0.80426,0.8173,140504.91494719,2024-03-10 00:00:00+00:00
1710115200000,0.81749,0.99955,0.78683,0.97249,1113087.97373828,2024-03-11 00:00:00+00:00
1710201600000,0.96964,0.97963,0.89274,0.92636,266221.24070297,2024-03-12 00:00:00+00:00
1710288000000,0.9299,0.94542,0.90362,0.92692,196727.57021193,2024-03-13 00:00:00+00:00
1710374400000,0.92574,0.95,0.86702,0.90828,314719.90156788,2024-03-14 00:00:00+00:00
1710460800000,0.90786,0.91392,0.81027,0.85562,256367.69380089,2024-03-15 00:00:00+00:00
1710547200000,0.8563,0.86816,0.80783,0.81738,276462.47020385,2024-03-16 00:00:00+00:00
1710633600000,0.82461,0.84653,0.79638,0.84179,135796.69638638,2024-03-17 00:00:00+00:00
1710720000000,0.83576,0.90176,0.80967,0.87454,259491.67472323,2024-03-18 00:00:00+00:00
1710806400000,0.87214,0.87214,0.78,0.79438,418274.00394813,2024-03-19 00:00:00+00:00
1710892800000,0.79749,0.83517,0.77308,0.82669,256775.62446097,2024-03-20 00:00:00+00:00
1710979200000,0.82371,0.88474,0.80814,0.86778,209316.60381381,2024-03-21 00:00:00+00:00
1711065600000,0.86778,0.86778,0.8016,0.81338,283110.24127783,2024-03-22 00:00:00+00:00
1711152000000,0.81263,0.85569,0.81263,0.83729,111660.15210823,2024-03-23 00:00:00+00:00
1711238400000,0.83803,0.85365,0.83229,0.84802,76452.70878667,2024-03-24 00:00:00+00:00
1711324800000,0.84729,0.89663,0.84729,0.86707,169185.77286197,2024-03-25 00:00:00+00:00
1711411200000,0.86547,0.88254,0.84258,0.84653,366640.70662186,2024-03-26 00:00:00+00:00
1711497600000,0.84858,0.85914,0.825,0.8253,194704.19679378,2024-03-27 00:00:00+00:00
1711584000000,0.82763,0.86252,0.81897,0.84666,141130.28336044,2024-03-28 00:00:00+00:00
1711670400000,0.84618,0.87094,0.82804,0.85575,184873.80371447,2024-03-29 00:00:00+00:00
1711756800000,0.85378,0.86098,0.84335,0.84728,141406.69778615,2024-03-30 00:00:00+00:00
1711843200000,0.84933,0.85538,0.84729,0.85149,105947.89923508,2024-03-31 00:00:00+00:00
1711929600000,0.85106,0.85435,0.80962,0.83304,206498.05866409,2024-04-01 00:00:00+00:00
1712016000000,0.82964,0.83902,0.78939,0.7967,221772.50670658,2024-04-02 00:00:00+00:00
1712102400000,0.79667,0.80714,0.76881,0.78,174489.39864625,2024-04-03 00:00:00+00:00
1712188800000,0.77895,0.82603,0.76185,0.80384,206485.46945999,2024-04-04 00:00:00+00:00
1712275200000,0.80509,0.80587,0.77562,0.80185,159340.49174024,2024-04-05 00:00:00+00:00
1712361600000,0.8002,0.81279,0.8002,0.80791,110654.94761548,2024-04-06 00:00:00+00:00
1712448000000,0.80807,0.82012,0.80293,0.80768,90733.4309738,2024-04-07 00:00:00+00:00
1712534400000,0.80877,0.84885,0.80199,0.8361,155640.15150625,2024-04-08 00:00:00+00:00
1712620800000,0.83472,0.87094,0.81922,0.8332,149809.85873549,2024-04-09 00:00:00+00:00
1712707200000,0.83426,0.84601,0.80921,0.84209,195477.33672874,2024-04-10 00:00:00+00:00
1712793600000,0.84172,0.84774,0.82837,0.83422,218360.68517519,2024-04-11 00:00:00+00:00
1712880000000,0.83327,0.84391,0.70851,0.76143,688075.13771411,2024-04-12 00:00:00+00:00
1712966400000,0.75969,0.76077,0.58862,0.67425,1189524.09862489,2024-04-13 00:00:00+00:00
1713052800000,0.6718,0.70296,0.65803,0.69894,305395.33204747,2024-04-14 00:00:00+00:00
1713139200000,0.69875,0.71928,0.66673,0.68598,549813.70477843,2024-04-15 00:00:00+00:00
1713225600000,0.68444,0.69016,0.66124,0.68762,160269.24340608,2024-04-16 00:00:00+00:00
1713312000000,0.68715,0.70018,0.65599,0.68337,153817.60254436,2024-04-17 00:00:00+00:00
1713398400000,0.68497,0.69527,0.66615,0.69387,576268.63527601,2024-04-18 00:00:00+00:00
1713484800000,0.69386,0.70286,0.64741,0.68689,219823.93226344,2024-04-19 00:00:00+00:00
1713571200000,0.6937,0.73233,0.68917,0.73082,127342.62041164,2024-04-20 00:00:00+00:00
1713657600000,0.72821,0.73725,0.71437,0.72225,162244.41230834,2024-04-21 00:00:00+00:00
1713744000000,0.72399,0.7814,0.71893,0.76309,235017.68055062,2024-04-22 00:00:00+00:00
1713830400000,0.76189,0.76345,0.74272,0.74323,148579.2540525,2024-04-23 00:00:00+00:00
1713916800000,0.74376,0.75372,0.71887,0.72263,184363.41399629,2024-04-24 00:00:00+00:00
1714003200000,0.72408,0.72734,0.70646,0.71892,145164.09787273,2024-04-25 00:00:00+00:00
1714089600000,0.71847,0.72976,0.70766,0.72057,172450.95731377,2024-04-26 00:00:00+00:00
1714176000000,0.71944,0.72062,0.69913,0.71499,172395.89703634,2024-04-27 00:00:00+00:00
1714262400000,0.71398,0.72314,0.69642,0.6989,88517.13489884,2024-04-28 00:00:00+00:00
1714348800000,0.69801,0.70691,0.68522,0.70484,105832.71267461,2024-04-29 00:00:00+00:00
1714435200000,0.70434,0.71008,0.67,0.69004,218304.49885324,2024-04-30 00:00:00+00:00
1714521600000,0.69035,0.71477,0.66188,0.70951,302137.42433491,2024-05-01 00:00:00+00:00
1714608000000,0.70872,0.71887,0.69603,0.71055,144867.22058932,2024-05-02 00:00:00+00:00
1714694400000,0.71071,0.73502,0.7039,0.72876,150782.60826821,2024-05-03 00:00:00+00:00
1714780800000,0.72965,0.74034,0.7243,0.7272,74234.01245397,2024-05-04 00:00:00+00:00
1714867200000,0.7259,0.73031,0.71924,0.72545,111922.44981929,2024-05-05 00:00:00+00:00
1714953600000,0.72775,0.77777,0.71887,0.73889,131545.87262645,2024-05-06 00:00:00+00:00
1715040000000,0.7384,0.74437,0.71887,0.72171,104868.70787269,2024-05-07 00:00:00+00:00
1715126400000,0.72092,0.72744,0.70856,0.71027,105029.43261834,2024-05-08 00:00:00+00:00
1715212800000,0.71177,0.71835,0.69879,0.71213,106653.2127472,2024-05-09 00:00:00+00:00
1715299200000,0.71311,0.71311,0.67926,0.68926,205063.89176272,2024-05-10 00:00:00+00:00
1715385600000,0.68928,0.69794,0.68807,0.69646,72684.63647693,2024-05-11 00:00:00+00:00
1715472000000,0.69586,0.69894,0.68211,0.68535,45385.56437645,2024-05-12 00:00:00+00:00
1715558400000,0.68614,0.7,0.67,0.69099,105548.1153389,2024-05-13 00:00:00+00:00
1715644800000,0.69126,0.69701,0.68189,0.68379,143992.51500443,2024-05-14 00:00:00+00:00
1715731200000,0.68353,0.70667,0.68007,0.70541,114885.07679792,2024-05-15 00:00:00+00:00
1715817600000,0.70522,0.71024,0.69814,0.70184,132668.04661597,2024-05-16 00:00:00+00:00
1715904000000,0.70272,0.71929,0.70062,0.71235,151231.6557883,2024-05-17 00:00:00+00:00
1715990400000,0.71267,0.71486,0.70629,0.70792,52189.17084194,2024-05-18 00:00:00+00:00
1716076800000,0.70781,0.71052,0.69096,0.69451,100108.70430306,2024-05-19 00:00:00+00:00
1716163200000,0.69402,0.73026,0.69229,0.73026,117763.83694604,2024-05-20 00:00:00+00:00
