ts,open,high,low,close,volume,datetime
1761537600000,3.68779,3.736,3.67324,3.67405,21085.55088961,2025-10-27 04:00:00+00:00
1761552000000,3.67092,3.68648,3.63773,3.67255,8647.78417073,2025-10-27 08:00:00+00:00
1761566400000,3.66994,3.72798,3.64335,3.72135,32684.85681953,2025-10-27 12:00:00+00:00
1761580800000,3.72135,3.77507,3.713,3.73678,64845.16377006,2025-10-27 16:00:00+00:00
1761595200000,3.72306,3.72306,3.67194,3.68516,75023.65303409,2025-10-27 20:00:00+00:00
1761609600000,3.67949,3.70572,3.65322,3.6812,33600.34390142,2025-10-28 00:00:00+00:00
1761624000000,3.6792,3.72024,3.66,3.69425,20188.20014728,2025-10-28 04:00:00+00:00
1761638400000,3.69621,3.73294,3.69621,3.69693,15014.73202316,2025-10-28 08:00:00+00:00
1761652800000,3.70229,3.75875,3.64,3.67096,53983.35228086,2025-10-28 12:00:00+00:00
1761667200000,3.68161,3.73332,3.64701,3.65711,36326.9428726,2025-10-28 16:00:00+00:00
1761681600000,3.66431,3.67133,3.58699,3.63363,82477.40578427,2025-10-28 20:00:00+00:00
1761696000000,3.62879,3.66296,3.62472,3.64166,35405.03300359,2025-10-29 00:00:00+00:00
1761710400000,3.63916,3.67074,3.63694,3.67074,14281.46269091,2025-10-29 04:00:00+00:00
1761724800000,3.67555,3.70963,3.66102,3.69971,5514.24993477,2025-10-29 08:00:00+00:00
1761739200000,3.69798,3.71393,3.63907,3.65067,42160.40475261,2025-10-29 12:00:00+00:00
1761753600000,3.65272,3.70052,3.56049,3.61248,97452.8571821,2025-10-29 16:00:00+00:00
1761768000000,3.61036,3.66496,3.54294,3.55968,70891.27896838,2025-10-29 20:00:00+00:00
1761782400000,3.55943,3.61069,3.52811,3.59604,52842.2541479,2025-10-30 00:00:00+00:00
1761796800000,3.59479,3.61298,3.47505,3.61137,54817.198659,2025-10-30 04:00:00+00:00
1761811200000,3.60564,3.61328,3.55382,3.56187,5190.56961789,2025-10-30 08:00:00+00:00
1761825600000,3.56605,3.57019,3.425,3.43198,44276.98939697,2025-10-30 12:00:00+00:00
1761840000000,3.42933,3.45578,3.33303,3.34142,135325.7892661,2025-10-30 16:00:00+00:00
1761854400000,3.34224,3.41763,3.33395,3.41696,72396.00969726,2025-10-30 20:00:00+00:00
1761868800000,3.4117,3.47283,3.40827,3.453,56142.62218955,2025-10-31 00:00:00+00:00
1761883200000,3.453,3.48752,3.453,3.46193,39858.33129105,2025-10-31 04:00:00+00:00
1761897600000,3.46366,3.52229,3.45655,3.52229,14420.01603298,2025-10-31 08:00:00+00:00
1761912000000,3.52494,3.57136,3.49231,3.53238,50593.52557483,2025-10-31 12:00:00+00:00
1761926400000,3.53697,3.57056,3.48516,3.57056,44300.61175245,2025-10-31 16:00:00+00:00
1761940800000,3.56601,3.56601,3.50961,3.51759,27632.88915103,2025-10-31 20:00:00+00:00
1761955200000,3.51795,3.52635,3.48922,3.52522,14916.58866776,2025-11-01 00:00:00+00:00
1761969600000,3.5268,3.53445,3.49915,3.51129,12023.84461123,2025-11-01 04:00:00+00:00
1761984000000,3.50986,3.52126,3.50232,3.50232,3207.90763024,2025-11-01 08:00:00+00:00
1761998400000,3.50334,3.50979,3.47258,3.48448,85749.38141009,2025-11-01 12:00:00+00:00
1762012800000,3.48448,3.48448,3.48448,3.48448,0.0,2025-11-01 16:00:00+00:00
1762027200000,3.49292,3.51767,3.48753,3.51305,12541.63631201,2025-11-01 20:00:00+00:00
1762041600000,3.51053,3.5197,3.49797,3.51638,16146.76352519,2025-11-02 00:00:00+00:00
1762056000000,3.5166,3.54733,3.51314,3.54733,20073.46259405,2025-11-02 04:00:00+00:00
1762070400000,3.55,3.56736,3.51904,3.56602,6916.3918894,2025-11-02 08:00:00+00:00
1762084800000,3.56568,3.57453,3.50691,3.50785,23435.75927673,2025-11-02 12:00:00+00:00
1762099200000,3.5041,3.51081,3.47474,3.48467,21644.49070151,2025-11-02 16:00:00+00:00
1762113600000,3.48573,3.54836,3.48203,3.54359,25984.26235379,2025-11-02 20:00:00+00:00
1762128000000,3.54217,3.54911,3.40489,3.40634,35025.89497434,2025-11-03 00:00:00+00:00
1762142400000,3.40205,3.43835,3.35031,3.38969,49418.59520709,2025-11-03 04:00:00+00:00
1762156800000,3.39167,3.40159,3.35,3.38185,17722.74892455,2025-11-03 08:00:00+00:00
1762171200000,3.37645,3.41495,3.24219,3.27878,205990.73772533,2025-11-03 12:00:00+00:00
1762185600000,3.27505,3.35922,3.26494,3.26616,107577.37254305,2025-11-03 16:00:00+00:00
1762200000000,3.272,3.27207,3.18181,3.24731,104479.20410193,2025-11-03 20:00:00+00:00
1762214400000,3.24572,3.32359,3.23879,3.3138,66530.51991127,2025-11-04 00:00:00+00:00
1762228800000,3.31654,3.32265,3.14332,3.15341,130932.00584834,2025-11-04 04:00:00+00:00
1762243200000,3.15143,3.21607,3.14,3.20953,54060.50846101,2025-11-04 08:00:00+00:00
1762257600000,3.21034,3.27509,3.16094,3.21674,68586.30988186,2025-11-04 12:00:00+00:00
1762272000000,3.21736,3.22485,3.03265,3.05309,243412.36931754,2025-11-04 16:00:00+00:00
1762286400000,3.0579,3.14256,2.9203,3.10674,306266.5638001,2025-11-04 20:00:00+00:00
1762300800000,3.11037,3.175,2.96764,3.15079,138667.03169541,2025-11-05 00:00:00+00:00
1762315200000,3.16134,3.18615,3.1422,3.16552,25869.68871574,2025-11-05 04:00:00+00:00
1762329600000,3.1607,3.16722,3.11189,3.16681,17547.23976964,2025-11-05 08:00:00+00:00
1762344000000,3.15972,3.22618,3.15411,3.21655,83346.59110011,2025-11-05 12:00:00+00:00
1762358400000,3.21431,3.28379,3.19049,3.2793,157513.82124949,2025-11-05 16:00:00+00:00
1762372800000,3.2795,3.35268,3.2795,3.30632,62782.48319661,2025-11-05 20:00:00+00:00
1762387200000,3.29888,3.4017,3.26001,3.32294,113711.80288207,2025-11-06 00:00:00+00:00
1762401600000,3.33198,3.33255,3.268,3.28116,20373.1644081,2025-11-06 04:00:00+00:00
1762416000000,3.27848,3.28488,3.22721,3.23988,28836.85956748,2025-11-06 08:00:00+00:00
1762430400000,3.24352,3.25188,3.15196,3.1597,17068.47449453,2025-11-06 12:00:00+00:00
1762444800000,3.15991,3.17266,3.11,3.1199,93854.60672525,2025-11-06 16:00:00+00:00
1762459200000,3.12137,3.13682,3.07933,3.12122,59230.16870369,2025-11-06 20:00:00+00:00
1762473600000,3.11958,3.15762,3.09877,3.14887,35095.82808813,2025-11-07 00:00:00+00:00
1762488000000,3.14827,3.15779,3.12625,3.15336,25451.85086863,2025-11-07 04:00:00+00:00
1762502400000,3.15244,3.15244,3.06017,3.08838,23872.93687864,2025-11-07 08:00:00+00:00
1762516800000,3.08946,3.12015,3.04067,3.11186,94356.84800173,2025-11-07 12:00:00+00:00
1762531200000,3.11417,3.304,3.09972,3.30174,160007.19219266,2025-11-07 16:00:00+00:00
1762545600000,3.30372,3.32463,3.24707,3.25242,39858.19434088,2025-11-07 20:00:00+00:00
1762560000000,3.25621,3.27807,3.23163,3.26066,52605.25557877,2025-11-08 00:00:00+00:00
1762574400000,3.26457,3.28096,3.22343,3.26335,15193.83385041,2025-11-08 04:00:00+00:00
1762588800000,3.26329,3.27,3.22157,3.22157,6659.42881268,2025-11-08 08:00:00+00:00
1762603200000,3.22412,3.23201,3.15515,3.16931,29430.42862443,2025-11-08 12:00:00+00:00
1762617600000,3.16925,3.20699,3.16412,3.19472,54856.57684183,2025-11-08 16:00:00+00:00
1762632000000,3.20128,3.31451,3.19772,3.21942,134463.00187483,2025-11-08 20:00:00+00:00
1762646400000,3.2195,3.2195,3.15222,3.17213,33966.7637198,2025-11-09 00:00:00+00:00
1762660800000,3.17686,3.23288,3.17294,3.23137,17048.11882889,2025-11-09 04:00:00+00:00
1762675200000,3.22569,3.22569,3.17504,3.20459,2450.03782884,2025-11-09 08:00:00+00:00
1762689600000,3.20201,3.28138,3.19437,3.26728,76314.06503367,2025-11-09 12:00:00+00:00
